Business / DBA Name,Legal Entity Name,Street Address,City,State,ZIP Code,NAICS Code,Industry Category,Entity Type,Permit Issue Date,MSSP Regulatory Sales Hook
ALL AUTO MULTISERVICE,JAMES BRUCE MENJIVAR LOPEZ,6906 ATWELL DR STE 216,HOUSTON,TX,77081,541191,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type IS,2025-07-24T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
ALL LEGAL RESOURCES,QUICK LEGAL LLC,2646 S LOOP W STE 380,HOUSTON,TX,77054,541110,Offices of Lawyers,Limited Liability Company (LLC),2026-09-04T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
ALL TEXAS NOTARY AND TITLE TRANSFER,YERALDI BIANET ROMERO,210 GULF BANK RD,HOUSTON,TX,77037,541120,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type IS,2024-04-04T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
ALLEN OVERY SHEARMAN STERLING US LLP,ALLEN OVERY SHEARMAN STERLING US LLP,800 CAPITOL ST STE 2200,HOUSTON,TX,77002,541110,Offices of Lawyers,Type PI,2026-06-26T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
ALOMIA'S SERVICES,ILEANA ALOMIA,222 W MOUNT HOUSTON RD STE E,HOUSTON,TX,77037,541191,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type IS,2026-08-08T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
AMERICA SERVICE,SANTA CACOTLA,2211 BINGLE RD UNIT A,HOUSTON,TX,77055,541199,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type IS,2023-11-27T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
AMERICAN TITLE SERVICES,JULIET D IMO,11603 BISSONNET ST,HOUSTON,TX,77099,541191,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type IS,2025-08-13T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
ANA MARIA MORALES,ANA MARIA MORALES,7402 ALABONSON RD UNIT 702,HOUSTON,TX,77088,541191,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type IS,2023-09-27T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
ANDARA SOLUTIONS LLC,ANDARA SOLUTIONS LLC,14405 WALTERS RD STE 934,HOUSTON,TX,77014,541120,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Limited Liability Company (LLC),2023-10-06T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
ANJ AUTO TITLE,NAVJOT SAHOTA AND ANOOP SAHOTA,5606 RICHMOND AVE,HOUSTON,TX,77057,541191,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type PI,2023-11-01T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
ARGENCIA LIAN MULTISERVICES,LUCIA ALMIRON AND IRVING NIEVAS,6811 N ELDRIDGE PKWY,HOUSTON,TX,77041,541199,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type PI,2023-12-01T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
ARNOLD & PORTER LLP,ARNOLD & PORTER KAYE SCHOLER LLP,700 LOUISIANA ST STE 1600,HOUSTON,TX,77002,541110,Offices of Lawyers,Type PB,2014-10-07T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
ASTUTE REALTY & ACCOUNTING,ASTUTE REALTY & ACCOUNTING LLC,14418 BRYCE MEADOW LN,HOUSTON,TX,77047,541120,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Limited Liability Company (LLC),2024-09-25T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
AUTO TITLE & TAG SERVICES LLC,AUTO TITLE & TAG SERVICES LLC,6855 TELEPHONE RD,HOUSTON,TX,77061,541199,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Limited Liability Company (LLC),2025-07-09T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
AUTO TITLE LLC,"AUTO TITLE, LLC",2800 TELEPHONE RD,HOUSTON,TX,77023,541191,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Limited Liability Company (LLC),2024-10-25T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
BAKER & BOTTS,BAKER BOTTS LLP,3000 ONE SHELL PLAZA,HOUSTON,TX,77002,541110,Offices of Lawyers,Type PI,1982-08-06T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
"BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ, A PRO","BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ, A PRO",1221 LAMAR ST STE 1300,HOUSTON,TX,77010,541110,Offices of Lawyers,Type CU,2012-01-21T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
BAYOU CITY INVESTIGATIONS,JANATH GREENE WHITFIELD & MOLLI A STEINLE,1510 VERMONT ST,HOUSTON,TX,77006,541199,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type PI,2016-03-22T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
BEYOND BORDERS MULTISERVICES,NICHOLAS COLLINS,9606 GARRETT PINE LN,HOUSTON,TX,77044,541199,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type IS,2024-11-13T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
BLACKSTONE FEYA,MONICA A BARAHONA,8036 HOWARD DR,HOUSTON,TX,77017,541199,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type IS,2024-09-27T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
BLANCA'S TITLE SERVICES & MORE,BLANCA C LOPEZ,10900 TELEPHONE RD,HOUSTON,TX,77075,541191,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type IS,2023-08-10T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
BLESSED HANDS NOTARY & CONSULTING INC.,BLESSED HANDS NOTARY & CONSULTING INC.,7400 HARWIN DR STE 191,HOUSTON,TX,77036,541120,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Texas Corporation,2025-01-17T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
BLOOMIN FUENTES SERVICES,ALBA CAROLINA FUENTE,5627 SPINDLE DR,HOUSTON,TX,77086,541191,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type IS,2024-01-25T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
BOSS TITLE SERVICE & AUTO,ALPHONSE DAVIS JR,6404 TIDWELL RD,HOUSTON,TX,77016,541199,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type IS,2024-08-21T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
BROOKS AUTO TITLE SERVICE,TYRONE H BROOKS,8525 BISSONNET ST,HOUSTON,TX,77074,541191,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type IS,2024-02-14T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
"BROWN SIMS, P.C.","BROWN SIMS, P.C.",1177 WEST LOOP S FL 10,HOUSTON,TX,77027,541110,Offices of Lawyers,Type CP,2017-02-01T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
C&O MULTISERVICES,TAMAR CUBILLAS,5757 ADDICKS SATSUMA RD,HOUSTON,TX,77084,541199,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type IS,2026-04-13T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
C.E & ASSOCIATES TITLE SERVICES,C.E & ASSOCIATES TITLE SERVICES LLC,12030 LOUETTA RD,HOUSTON,TX,77070,541199,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Limited Liability Company (LLC),2025-05-16T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
CARLOS TITLE SERVICE,CARLOS SUAREZ AND MARIA SUAREZ,11846 W MONTGOMERY RD,HOUSTON,TX,77086,541199,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type PI,2023-08-29T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
CELYS TITLE SERVICE,AILEEN A OROZCO,5239 PETTY ST,HOUSTON,TX,77007,541191,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type IS,2024-11-18T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
CHARTER TITLE COMPANY,FNF CHARTER TITLE COMPANY,1717 WEST LOOP S STE 12,HOUSTON,TX,77027,541191,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Texas Corporation,2020-07-17T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
CHARTER TITLE COMPANY,FNF CHARTER TITLE COMPANY,609 MAIN ST STE 4325,HOUSTON,TX,77002,541191,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Texas Corporation,2020-07-16T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
CHARTER TITLE COMPANY,FNF CHARTER TITLE COMPANY,110 VINTAGE PARK BLVD STE 240,HOUSTON,TX,77070,541191,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Texas Corporation,2020-07-16T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
CLARK HILL STRASBURGER,CLARK HILL PLC,909 FANNIN ST STE 2300,HOUSTON,TX,77010,541110,Offices of Lawyers,Corporation / Corporate Entity,2018-04-25T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
CMO NOTARY SERVICES,CMO NOTARY SERVICES L.L.C.,239 GREENS RD,HOUSTON,TX,77060,541120,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Limited Liability Company (LLC),2024-04-23T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
COCO'S BOUTIQUE & GIFTS,MARIA C MIRANDA,1401 CAYWOOD LN,HOUSTON,TX,77055,541110,Offices of Lawyers,Type IS,2024-04-05T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
COMPANIEROS TITLE SERVICES,BLANCA E LEYVA,2021 BROADWAY ST,HOUSTON,TX,77012,541120,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type IS,2023-08-16T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
"CONLEY ROSE, P.C.","CONLEY ROSE, P.C.",600 TRAVIS ST STE 7100,HOUSTON,TX,77002,541110,Offices of Lawyers,Type CP,2005-10-26T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
COURT RECORD RESEARCH INC,"COURT RECORD RESEARCH, INC.",405 MAIN ST STE 550,HOUSTON,TX,77002,541199,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Texas Corporation,2003-12-01T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
COURTROOM CONSULTANTS GROUP INC,"COURTROOM CONSULTANTS GROUP, INC.",1111 BAGBY ST STE 1950,HOUSTON,TX,77002,541110,Offices of Lawyers,Texas Corporation,2001-06-13T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
COZEN O'CONNOR,COZEN  O'CONNOR,811 MAIN ST STE 2000,HOUSTON,TX,77002,541110,Offices of Lawyers,Foreign Corporation (Out-of-State),2025-10-02T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
CROWN TITLE COMPANY OF HOUSTON LLC,"CROWN TITLE COMPANY OF HOUSTON, LLC",4700 W SAM HOUSTON PKWY N STE 100,HOUSTON,TX,77041,541191,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Limited Liability Company (LLC),2007-07-26T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
CURAZAO AUTO TITLE SERVICES,"DON PEDRITO INTERNATIONAL, CORP.",5900 BELLAIRE BLVD STE B,HOUSTON,TX,77081,541191,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Texas Corporation,2024-05-03T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
D & T TITLE AND SERVICES,DENISE TRAN AND TUAN HO,13606 BELLAIRE BLVD STE B2,HOUSTON,TX,77083,541191,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type PI,2025-02-08T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
DAMAR MULTISERVICES,RAMON ESTRADA,159 ALDINE BENDER RD STE 172,HOUSTON,TX,77060,541120,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type IS,2023-08-18T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
DANNY DEXTER AND ASSOCIATES,"DANNY DEXTER AND ASSOCIATES, A PROFESSIONAL LIMITE",25 VALLEY FORGE DR,HOUSTON,TX,77024,541110,Offices of Lawyers,Limited Liability Company (LLC),2006-11-30T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
"DANZIGER & DE LLANO, LLP","DANZIGER & DE LLANO, LLP",440 LOUISIANA ST STE 1212,HOUSTON,TX,77002,541110,Offices of Lawyers,Type PB,2021-02-09T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
DECLARATION TITLE COMPANY LLC,DECLARATION TITLE COMPANY LLC,12649 MEMORIAL DR STE F,HOUSTON,TX,77024,541191,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Limited Liability Company (LLC),2017-11-27T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
DECLARATION TITLE COMPANY LLC,DECLARATION TITLE COMPANY LLC,8711 HIGHWAY 6 N STE 100,HOUSTON,TX,77095,541191,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Limited Liability Company (LLC),2017-11-27T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
"DEHTHO LAW FIRM, PLLC","DEHTHO LAW FIRM, PLLC",1602 REINERMAN ST,HOUSTON,TX,77007,541110,Offices of Lawyers,Limited Liability Company (LLC),2025-05-30T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
DELTA INTEL GROUP INC,DELTA INTEL GROUP INC.,8703 LINKMEADOW LN,HOUSTON,TX,77025,541199,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Texas Corporation,2025-07-10T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
DHE TAX SERVICES,ELENA DIAZ,1810 PARKER RD,HOUSTON,TX,77093,541191,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type IS,2025-10-10T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
DIAMOND PRO SERVICES LLC,DIAMOND PRO SERVICES LLC,1501 BINGLE RD,HOUSTON,TX,77055,541199,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Limited Liability Company (LLC),2025-05-30T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
DOUBLE BARREL TITLE LLC,DOUBLE BARREL TITLE LLC,2525 BAY AREA BLVD,HOUSTON,TX,77058,541191,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Corporation / Corporate Entity,2025-07-30T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
DRIVEWISE AUTOMOTIVE,NAHUM MEHARENA YIKALO,5609 BELLAIRE BLVD STE B,HOUSTON,TX,77081,541191,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type IS,2024-01-11T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
DS FINANCIAL SERVICES,DULCE C SANCHEZ,2840 BROADWAY ST STE 101,HOUSTON,TX,77017,541120,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type IS,2023-06-10T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
DUANE MORRIS LLP,DUANE MORRIS LLP,3200 SOUTHWEST FWY STE 3150,HOUSTON,TX,77027,541110,Offices of Lawyers,Type PI,2003-03-03T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
DV BOOKKEEPING & MULTI SERVICES,DEYSI VILLATORO VILLATORO,10555 LAKEBROOK DR,HOUSTON,TX,77038,541120,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type IS,2021-03-10T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
DYNAMIC TAX AND MULTISERVICE LLC,DYNAMIC TAX AND MULTISERVICE LLC,5454 NEWCASTLE ST APT 1704,HOUSTON,TX,77081,541120,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Limited Liability Company (LLC),2021-09-03T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
E & G MULTISERVICES AND NOTARY,E&G MULTISERVICES & NOTARY LLC,1020 CYPRESS CREEK PKWY STE 17,HOUSTON,TX,77090,541120,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Limited Liability Company (LLC),2026-04-04T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
E-Z AUTO TITLE AND POSTAL,KANWALJIT S KANG,10226 MILLS RD,HOUSTON,TX,77070,541191,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type IS,2024-02-13T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
EASYWAY MULTISERVICES LLC,EASYWAY MULTISERVICES LLC,2118 ALDINE BENDER RD STE B,HOUSTON,TX,77032,541120,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Limited Liability Company (LLC),2026-02-27T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
EC NOTARY SERVICES ETC.,ELIZABETH CANTU MARTINEZ,815 BOLLING LN,HOUSTON,TX,77076,541199,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type IS,2026-06-17T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
ELEVATE BUSINESS SOLUTIONS,JEILIN JIMENA OSPINA,16100 CAIRNWAY DR STE 310,HOUSTON,TX,77084,541120,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type IS,2026-08-04T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
EMPOWERING MULTISERVICES LLC,EMPOWERING MULTISERVICES LLC,8108 MUNN ST,HOUSTON,TX,77029,541120,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Limited Liability Company (LLC),2025-09-27T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
ERICKA'S MULTISERVICES LLC,ERICKA'S MULTISERVICES LLC,8100 S KIRKWOOD RD STE 100,HOUSTON,TX,77072,541120,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Limited Liability Company (LLC),2024-07-04T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
EVELYN'S TITLE SERVICE,EBLIN SMITH,7500 BELLERIVE DR APT 400,HOUSTON,TX,77036,541120,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type IS,2024-04-15T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
EVERSHEDS SUTHERLAND (US) LLP,EVERSHEDS SUTHERLAND (US) LLP,1001 FANNIN ST,HOUSTON,TX,77002,541110,Offices of Lawyers,Type PI,2021-02-04T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
EVOLUTION BUSINESS SOLUTIONS,IRIS YANIRA SALMERON,1601 COLLINGSWORTH ST,HOUSTON,TX,77009,541191,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type IS,2023-10-04T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
EXPENSECO LLC,EXPENSECO LLC,3767 CARLON ST,HOUSTON,TX,77005,541199,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Limited Liability Company (LLC),2025-10-16T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
EXPRESS MULTISERVICES & TITLES LLC,EXPRESS MULTISERVICES & TITLES LLC,616 CYPRESS CREEK PKWY STE 200D,HOUSTON,TX,77090,541120,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Limited Liability Company (LLC),2024-09-11T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
FIABLE TITLE SERVICES,AXEL MARTINEZ,6423 RICHMOND AVE STE H,HOUSTON,TX,77057,541191,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type IS,2025-07-16T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
"FIEL HOUSTON, INC.","FIEL HOUSTON, INC.",6610 HARWIN DR STE 214,HOUSTON,TX,77036,541199,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type CN,2022-03-01T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
"FLASH DATA, LLC","FLASH DATA, LLC",2450 LOUISIANA ST STE 400-160,HOUSTON,TX,77006,541199,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Limited Liability Company (LLC),2017-12-30T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
FOLEY & LARDNER LLP,FOLEY & LARDNER LLP,1000 LOUISIANA ST STE 2000,HOUSTON,TX,77002,541110,Offices of Lawyers,Type PI,2023-01-11T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
FOUR FIFTEEN TITLE SERVICE,LATRAVIA JACKSON,8619 COOK RD,HOUSTON,TX,77099,541191,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type IS,2026-09-02T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
"FRANCISCO J. AGRAZ, A PROFESSIONAL CORPORATION","FRANCISCO J. AGRAZ, A PROFESSIONAL CORPORATION",2035 MCCLENDON ST,HOUSTON,TX,77030,541110,Offices of Lawyers,Type CP,2017-09-28T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
FRONTIER TITLE SERVICES LLC,FRONTIER TITLE SERVICES LLC,3939 ESSEX LN STE 100,HOUSTON,TX,77027,541191,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Limited Liability Company (LLC),2018-09-18T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
G-FIRST MULTY SERVICE,OLIVIA ESPINOZA,13103 FERRY HILL LN,HOUSTON,TX,77015,541199,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type IS,2025-06-17T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
GET IT NOW TITLE SERVICE,JULIE E OROZCO,10301 NORTHWEST FWY STE 419,HOUSTON,TX,77092,541191,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type IS,2024-02-23T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
GONZALEZ TITLES,ELENA GONZALEZ MORALES,7106 MYRTLE ST,HOUSTON,TX,77087,541120,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type IS,2024-01-02T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
GREENBERG TRAURIG LLP,GREENBERG TRAURIG LLP,1000 LOUISIANA ST STE 1800,HOUSTON,TX,77002,541110,Offices of Lawyers,Type PB,2006-11-20T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
GULF COAST TITLE SERVICES,IRVIN DELGADO AND DOMINGA VARGAS,9706 BIRDS EYE MAPLE LN,HOUSTON,TX,77064,541120,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Type PI,2026-04-16T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
H&C TITLE SERVICE LLC,H&C TITLE SERVICE LLC,13414 GRANADA ST STE 2,HOUSTON,TX,77015,541120,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Limited Liability Company (LLC),2025-06-03T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
HANNA'S MULTISERVICE LLC,HANNA'S MULTISERVICE LLC,13265 FOREST ACRES DR,HOUSTON,TX,77050,541199,"Professional, Scientific, and Technical Services (Legal, Accounting, IT)",Limited Liability Company (LLC),2022-04-13T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
HAYNES AND BOONE LLP,HAYNES AND BOONE LLP,1221 MCKINNEY ST STE 4000,HOUSTON,TX,77010,541110,Offices of Lawyers,Type PI,2005-01-07T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
HEARD & MEDACK P C,"HEARD & MEDACK, P.C.",9494 SOUTHWEST FWY STE 700,HOUSTON,TX,77074,541110,Offices of Lawyers,Type CP,2004-01-28T00:00:00.000,State Bar Ethics / Client Wire Fraud / Escrow Defense
